#Hhst|H id|Ea|KTR komplett|Ktr bez|Ktr art|Kst|Kstst bez|Sk|Sk bez|Sk pos|Sk pos bez|Ep|Sk finre|Sk finre bez|Fp|Proj|Proj bez|J2011_ERG|J2011_FINERG|J2012_ERG|J2012_FINERG|J2013_ERG|J2013_FINERG|J2014_PLAN|J2015_PLAN|J2016_PLAN|J2017_PLAN|J2018_PLAN|J2019_PLAN
02300_41411|249126|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|50222000|Leistungsorientierte Bezahlung (LOB) nach § 18 TVöD|E_02a|Personalaufwendungen|1|70222000|Auszahlungen für Leistungszulagen (LOB)|1|||-4 574.42|-4 574.42|-6 337.20|-6 337.20|-5 535.95|-5 535.95|0|-9 890|-11 390|-11 360|-11 470|-11 570
02300_41412|249127|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|50626000|Erfolgsprämie nach § 18 TVöD|E_02a|Personalaufwendungen|1|70626000|Auszahlungen für Erfolgsprämie|1|||-2 200.00|-2 200.00|-2 100.00|-2 100.00||||0|0|0|0|0
02300_43000|249129|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|50312000|Versorgungsumlage für Beamte|E_02a|Personalaufwendungen|1|70312000|Auszahlungen für Versorgungsumlage - Beamte|1|||-63 043.62|-63 043.62|-82 184.78|-82 184.78|-95 998.38|-95 998.38|-114 280|-105 810|-106 830|-107 830|-108 830|-109 840
02300_43400|249130|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|50320000|Beiträge zu Versorgungskassen - Arbeitnehmer|E_02a|Personalaufwendungen|1|70320000|Beiträge zu Versorgungskassen - Arbeitnehmer|1|||-17 006.24|-17 006.24|-17 668.40|-17 668.40|-12 985.73|-12 985.73|-18 000|-15 200|-15 350|-15 500|-15 640|-15 790
02300_44400|249131|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|50421000|Beiträge zur gesetzlichen Sozialversicherung - Arbeitnehmer|E_02a|Personalaufwendungen|1|70421000|Beiträge zur gesetzlichen Sozialversicherung - Arbeitnehmer|1|||-96 025.36|-96 025.36|-95 730.60|-95 730.60|-70 580.92|-70 580.92|-98 870|-86 600|-87 420|-88 240|-89 070|-89 890
02300_45000|249132|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|50511000|Beihilfe für aktive Beamte|E_02a|Personalaufwendungen|1|70510000|Auszahlungen für Beihilfen für aktive Beamte|1|||-5 024.68|-5 024.68|-5 472.72|-5 472.72|-7 263.51|-7 263.51|-7 800|-6 970|-6 900|-6 960|-7 030|-7 100
02300_45100|249133|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|50501000|Ärztliche Untersuchungen für aktive Beamte und Arbeitnehmer|E_02a|Personalaufwendungen|1|70500000|Auszahlungen für Unterstützungsleistungen und dergleichen|1|||-313.48|-313.48|-621.93|-621.93|-412.08|-412.08|-950|-830|-830|-840|-850|-860
02300_52300|249134|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|52370000|Unterhaltung der Betriebs- und Geschäftsausstattung|E_02c|Aufwendungen für Sach- und Dienstleistungen|1|72370000|Unterhaltung der Betriebs- und Geschäftsausstattung|1|||-25.64|-25.64|||||0|0|0|0|0|0
02300_52310|249135|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|8240000|Geringwertige Vermögensgegenstände (VG innerhalb der Wertgrenze 60,01 - 410,00 EUR ohne USt)|A_1.2.8|Betriebs- und Geschäftsausstattung|0|78572000|Auszahlungen für bewegliche Sachen des AV innerhalb der Wertgrenze 60,01 bis 410,00 EUR (ohne USt)|1|119100M10000|FD Recht GVG||-446.21|||||-1 500|-1 500|-1 500|-1 500|-1 500|-1 500
02300_53400|249136|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|56213000|Mieten für Gebäude an Eigenbetrieb KIJ|E_02h|sonstige laufende Aufwendungen|1|76213000|Mieten für Gebäude an Eigenbetrieb KIJ|1|||-26 880.00|-26 880.00|-30 222.46|-30 222.46|-28 917.44|-28 917.44|-28 920|-30 600|-31 900|-31 900|-31 900|-31 900
02300_53500|249137|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|56241000|Miete für PC-Arbeitsplatz an Eigenbetrieb KIJ|E_02h|sonstige laufende Aufwendungen|1|76241000|Miete für PC-Arbeitsplatz an Eigenbetrieb KIJ|1|||-15 533.40|-15 533.40|-16 827.84|-16 827.84|-17 987.76|-17 987.76|-17 000|-21 490|-21 820|-22 150|-22 490|-22 830
02300_53600|249138|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|56214000|Mieten für Büroausstattung an Eigenbetrieb KIJ|E_02h|sonstige laufende Aufwendungen|1|76214000|Mieten für Büroausstattung an Eigenbetrieb KIJ|1|||-9 813.36|-9 813.36|-9 854.88|-9 854.88|-10 216.80|-10 216.80|-10 000|-11 000|-11 170|-11 340|-11 520|-11 700
02300_53700|249139|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|56215000|Miete für Bürotechnik an Eigenbetrieb KIJ|E_02h|sonstige laufende Aufwendungen|1|76215000|Miete für Bürotechnik an Eigenbetrieb KIJ|1|||-2 141.44|-2 141.44|-2 365.20|-2 365.20|-2 413.80|-2 413.80|-2 450|-2 040|-2 080|-2 120|-2 160|-2 200
02300_53801|249140|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|56216000|Nutzungsentgelt für Kraftfahrzeuge an Eigenbetrieb KSJ|E_02h|sonstige laufende Aufwendungen|1|76216000|Nutzungsentgelt für Kraftfahrzeuge an Eigenbetrieb KSJ|1|||-3 025.36|-2 826.18|-2 801.23|-2 847.50|-3 374.90|-3 189.70|-3 000|-3 000|-3 000|-3 000|-3 000|-3 000
02300_54010|249141|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|52321000|Betriebskosten an Eigenbetrieb KIJ|E_02c|Aufwendungen für Sach- und Dienstleistungen|1|72321000|Bewirtschaftung der Grundstücke an EB KIJ|1|||-23 360.00|-23 360.00|-23 734.48|-23 734.48|-33 166.96|-33 166.96|-33 170|-27 500|-28 300|-29 100|-29 100|-29 100
02300_54015|249142|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|56951000|Periodenfremde Aufwendungen - Betriebskostennachzahlung an Eigenbetrieb KIJ|E_02h|sonstige laufende Aufwendungen|1|72321000|Bewirtschaftung der Grundstücke an EB KIJ|1|||||-7 540.41|-7 540.41|-649.68|-649.68|0|0|0|0|0|0
02300_56200|249143|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|56120000|Aufwendungen für Aus- und Fortbildung|E_02h|sonstige laufende Aufwendungen|1|76120000|Auszahlungen für Aus- und Fortbildung|1|||-5 305.80|-5 159.50|-7 161.20|-6 791.70|-6 899.20|-7 271.20|-6 000|-5 000|-5 000|-5 000|-5 000|-5 000
02300_57100|249144|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|52441000|Ausstattungs- und Verbrauchsmaterial|E_02c|Aufwendungen für Sach- und Dienstleistungen|1|72441000|Ausstattungs- und Verbrauchsmaterial|1|||-22.43|-22.43|-6.89|-6.89|-59.68|-59.68|-100|-100|-100|-100|-100|-100
02300_61165|249145|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|56551600|Aufwand für EWB auf privatrechtliche Forderungen|E_02h|sonstige laufende Aufwendungen|1|76997000|Sonstige laufende Auszahlungen|1|||||-1 183.00|||||0|0|0|0|0
02300_63300|249146|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|52491000|Aufwendungen für Veranstaltungen - ohne bezogene Leistungen|E_02c|Aufwendungen für Sach- und Dienstleistungen|1|72491000|Auszahlungen für Veranstaltungen - ohne bezogene Leistungen|1|||||-373.70|-373.70||||0|0|0|0|0
02300_63700|249147|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|52481000|Sonstige bezogene Leistungen - allgemein|E_02c|Aufwendungen für Sach- und Dienstleistungen|1|72481000|Sonstige bezogene Leistungen - allgemein|1||||-166.71|-120.48|-120.48|-147.47|-147.47|-400|-400|-400|-400|-400|-400
02300_64291|249148|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|56890000|Sonstige betriebliche Steueraufwendungen|E_02h|sonstige laufende Aufwendungen|1|76890000|Sonstige betriebliche Steuerauszahlungen|1|||||||-237.50|-237.50||0|0|0|0|0
02300_65000|249149|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|56312000|Bürobedarf|E_02h|sonstige laufende Aufwendungen|1|76312000|Bürobedarf|1|||-2 391.52|-2 391.52|-1 935.70|-1 935.70|-2 017.15|-2 017.15|-3 000|-3 000|-3 000|-3 000|-3 000|-3 000
02300_65100|249150|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|56321000|Fachliteratur, Zeitschriften|E_02h|sonstige laufende Aufwendungen|1|76321000|Fachliteratur, Zeitschriften|1|||-8 851.18|-8 422.69|-11 108.57|-11 577.15|-11 440.19|-11 460.24|-12 000|-12 000|-12 000|-12 000|-12 000|-12 000
02300_65201|249151|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|56330000|Porto und Versandkosten|E_02h|sonstige laufende Aufwendungen|1|76330000|Porto und Versandkosten|1|||-506.50|-506.50|-500.83|-500.83|-396.21|-396.21|-1 000|-1 000|-1 000|-1 000|-1 000|-1 000
02300_65250|249152|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|56343200|Miete für Fernsprech- und Telefaxanlage an Eigenbetrieb KIJ|E_02h|sonstige laufende Aufwendungen|1|76343200|Miete für Fernsprech- und Telefaxanlage an Eigenbetrieb KIJ|1|||-2 690.56|-2 690.56|-3 110.40|-3 110.40|-3 330.65|-3 330.65|-3 200|-3 410|-3 470|-3 530|-3 590|-3 650
02300_65255|249153|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|56341200|Fernmeldegebühren an Eigenbetrieb KIJ|E_02h|sonstige laufende Aufwendungen|1|76341200|Fernmeldegebühren an Eigenbetrieb KIJ|1|||-239.25|-239.25|-196.22|-188.99|-453.73|-396.47|-500|-500|-500|-500|-500|-500
02300_65400|249154|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|56131000|Aufwendungen für Dienstreisen und Dienstgänge|E_02h|sonstige laufende Aufwendungen|1|76131000|Auszahlungen für Dienstreisen und Dienstgänge|1|||-208.00|-208.00|-211.67|-211.67|-326.10|-326.10|-800|-800|-800|-800|-800|-800
02300_65450|249155|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|56132000|Dienstreiseaufwendungen für Aus- und Fortbildung|E_02h|sonstige laufende Aufwendungen|1|76132000|Dienstreiseauszahlungen für Aus- und Fortbildung|1||||||||||-1 000|-1 000|-1 000|-1 000|-1 000
02300_65500|249156|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|56251000|Gutachten, Gerichts- und ähnliche Aufwendungen|E_02h|sonstige laufende Aufwendungen|1|76251000|Gutachten, Gerichts- und ähnliche Aufwendungen|1|||-107 696.89|-105 933.49|-125 579.12|-121 951.15|-143 393.38|-131 478.74|-99 000|-140 000|-140 000|-140 000|-140 000|-140 000
02300_66100|249157|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|56420000|Beiträge zu Wirtschaftsverbänden, Berufsvertretungen und Vereinen|E_02h|sonstige laufende Aufwendungen|1|76420000|Beiträge zu Wirtschaftsverbänden, Berufsvertretungen und Vereinen|1|||-230.08|-230.08|-230.08|-230.08|-230.08|-230.08|-260|-260|-260|-260|-260|-260
02300_67930|249160|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|58113000|Aufwendungen aus Verrechnungen Einsatz von Mitarbeitern der Personalvermittlung|E_13|Aufwendungen aus internen Leistungsbeziehungen|1|79813000|Verrechnungen Einsatz von Mitarbeitern der Personalvermittlung|1|||-7 342.92|-7 342.92||||||0|0|0|0|0
02300_93543|249162|A|11910000|Rechtsberatung und Gerichtsverfahren (P)|7|12100|Fachdienst Recht|1110000|Selbstgeschaffene gewerbliche Schutzrechte und ähnliche Rechte und Werte|A_1.1.1|Selbstgeschaffene gewerbliche Schutzrechte und ähnliche Rechte und Werte|0|78410000|Auszahlungen für Konzessionen, Lizenzen und andere Schutzrechte|1|119100M00001|FD Recht Individualsoftware ALGII Berechnung||-3 000.00|||||0|0|0|0|0|0
02400_10000|249163|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|43110000|Verwaltungsgebühren|E_01d|öffentlich-rechtliche Leistungsentgelte|1|63110000|Verwaltungsgebühren|1|||321.00|321.00|50.45|50.45|35.00|35.00|50|50|50|50|50|50
02400_11000|249164|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|46250000|Verkauf von Angebotsunterlagen|E_01i|sonstige laufende Erträge|1|66150000|Verkauf von Angebotsunterlagen|1|||95.00|95.00|25.00|25.00|3.00|3.00|0|0|0|0|0|0
02400_11200|249165|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|44150000|Eintrittsgelder / Teilnehmerentgelte steuerfrei|E_01e|privatrechtliche Leistungsentgelte|1|64150000|Eintrittsgelder / Teilnehmerentgelte steuerfrei|1|||1 060.00|1 060.00|2 047.50|2 047.50|2 454.00|2 454.00|0|4 000|4 000|4 000|4 000|4 000
02400_13001|249168|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|44192000|Erträge aus Verkauf steuerfrei|E_01e|privatrechtliche Leistungsentgelte|1|64192000|Einzahlungen aus Verkauf steuerfrei|1|||4 769.65|4 819.80|4 279.20|4 279.20|4 120.80|4 141.20|4 600|4 000|4 000|4 000|4 000|4 000
02400_13002|249169|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|44192000|Erträge aus Verkauf steuerfrei|E_01e|privatrechtliche Leistungsentgelte|1|64192000|Einzahlungen aus Verkauf steuerfrei|1|||1 547.30|1 529.30|1 344.45|1 457.95|660.90|842.50|500|500|500|500|500|500
02400_15085|249171|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|46951000|Rückzahlung Betriebskosten vom Eigenbetrieb KIJ (periodenfremd)|E_01i|sonstige laufende Erträge|1|64193000|Sonstige privatrechtliche Leistungsentgelte steuerfrei|1|||1 579.56|1 579.56|||1 738.22|1 738.22|0|0|0|0|0|0
02400_16100|249172|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|44242000|Kostenerstattungen vom Land|E_01f|Kostenerstattungen und Kostenumlagen|1|64242000|KE vom Land|1|||3 190.00|3 160.00||270.00|||0|0|0|0|0|0
02400_16200|249173|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|44243000|Kostenerstattungen von Gemeinden und Gemeindeverbänden|E_01f|Kostenerstattungen und Kostenumlagen|1|64243000|KE von Gemeinden und Gemeindeverbänden|1|||173.70|173.70|||||0|0|0|0|0|0
02400_16400|249175|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|44249000|KE vom sonstigen öffentlichen Bereich|E_01f|Kostenerstattungen und Kostenumlagen|1|64249000|KE vom sonstigen öffentlichen Bereich|1|||2 273.96|2 273.96|2 233.92|2 233.92||||0|0|0|0|0
02400_16500|249176|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|44231300|Kostenerstattungen vom Eigenbetrieb KSJ|E_01f|Kostenerstattungen und Kostenumlagen|1|64231000|KE von Eigenbetrieben|1|||40 846.50|39 853.50|39 068.10|39 860.40|1 425.15|1 323.00|2 000|2 000|2 000|2 000|2 000|2 000
02400_16501|249177|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|44231100|Kostenerstattungen vom Eigenbetrieb KIJ|E_01f|Kostenerstattungen und Kostenumlagen|1|64231000|KE von Eigenbetrieben|1|||35 056.40|33 753.50|36 377.00|35 978.60|8 508.90|8 184.30|10 000|10 000|10 000|10 000|10 000|10 000
02400_16502|249178|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|44231200|Kostenerstattungen vom Eigenbetrieb KMJ|E_01f|Kostenerstattungen und Kostenumlagen|1|64231000|KE von Eigenbetrieben|1|||181.50|154.50|25 198.00|25 225.00|||500|500|500|500|500|500
02400_16503|249179|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|44231400|Kostenerstattungen vom Eigenbetrieb jenarbeit|E_01f|Kostenerstattungen und Kostenumlagen|1|64231000|KE von Eigenbetrieben|1|||5 119.10|119.10|5 000.00|10 000.00|666.82|435.52|500|500|500|500|500|500
02400_16506|249180|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|44239000|Kostenerstattungen vom Regiebetrieb KKJ|E_01f|Kostenerstattungen und Kostenumlagen|1|64239000|KE von Regiebetrieben|1|||||3 732.00|3 732.00|||0|0|0|0|0|0
02400_16509|249181|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|44210000|Kostenerstattungen von verbundenen Unternehmen|E_01f|Kostenerstattungen und Kostenumlagen|1|64210000|KE von verbundenen Unternehmen|1|||2 488.00|2 488.00|2 488.00|2 488.00|||0|11 000|0|0|0|0
02400_16800|249182|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|44259000|Kostenerstattungen vom sonstigen privaten Bereich|E_01f|Kostenerstattungen und Kostenumlagen|1|64259000|KE vom sonstigen privaten Bereich|1|||4 218.45|4 055.08|2 429.29|364.87|9 731.40|4 872.79|0|0|0|0|0|0
02400_17000|249184|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|41441000|Zuweisungen für lfd. Zwecke vom Bund|E_01b|Zuwendungen, allgemeine Umlagen und sonstige Transfererträge|1|61441000|Zuweisungen für lfd. Zwecke vom Bund|1|||||||117 497.80|116 297.04|116 500|116 500|116 500|0|0|0
02400_17100|249185|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|41442800|Zuweisungen vom Land nach Einzelgesetzen|E_01b|Zuwendungen, allgemeine Umlagen und sonstige Transfererträge|1|61442000|Zuweisungen für lfd. Zwecke vom Land|1|||13 628.93|13 628.93|||10 000.00|10 000.00|0|0|0|0|0|0
02400_17500|249187|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|41431400|Zuschüsse vom Eigenbetrieb jenarbeit (Eingliederungshilfe)|E_01b|Zuwendungen, allgemeine Umlagen und sonstige Transfererträge|1|61431400|Zuschüsse vom Eigenbetrieb jenarbeit (Eingliederungshilfe)|1|||4 194.03|5 166.91|||||0|0|0|0|0|0
02400_17600|249188|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|41410000|Zuweisungen für lfd. Zwecke von verbundenen Unternehmen|E_01b|Zuwendungen, allgemeine Umlagen und sonstige Transfererträge|1|61410000|Zuschüsse für laufende Zwecke von verbundenen Unternehmen|1|||500.00|500.00|||||0|0|0|0|0|0
02400_17700|249189|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|41451000|Zuschüsse von privaten Unternehmen (Spenden)|E_01b|Zuwendungen, allgemeine Umlagen und sonstige Transfererträge|1|61451000|Zuschüsse von privaten Unternehmen|1|||||||500.00|500.00||0|0|0|0|0
02400_17800|249190|E|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|41490000|Zuschüsse von Sonstigen (Spenden)|E_01b|Zuwendungen, allgemeine Umlagen und sonstige Transfererträge|1|61490000|Zuschüsse von Sonstigen (Rückzahlung)|1|||||2 372.00|2 372.00|||0|0|0|0|0|0
02400_41000|249192|A|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|50211000|Dienstbezüge Beamte|E_02a|Personalaufwendungen|1|70211000|Auszahlungen der Dienstbezüge für Beamte|1|||-43 198.09|-43 198.09|-39 977.67|-39 977.67|||0|0|0|0|0|0
02400_41100|249193|A|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|50311000|Versorgungsrücklage für Beamte|E_02a|Personalaufwendungen|1|70311000|Auszahlungen für Versorgungsrücklage - Beamte|1|||-313.89|-313.89|-319.07|-319.07|||0|0|0|0|0|0
02400_41400|249194|A|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|50221000|Vergütungen der Arbeitnehmer|E_02a|Personalaufwendungen|1|70221000|Auszahlungen für Vergütungen der Arbeitnehmer|1|||-452 052.88|-452 052.88|-488 883.61|-488 883.61|-491 907.19|-491 907.19|-558 460|-481 310|-485 910|-490 490|-495 060|-499 610
02400_41411|249195|A|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|50222000|Leistungsorientierte Bezahlung (LOB) nach § 18 TVöD|E_02a|Personalaufwendungen|1|70222000|Auszahlungen für Leistungszulagen (LOB)|1|||-5 190.46|-5 190.46|-5 832.34|-5 832.34|-5 809.75|-5 809.75|0|-10 420|-12 010|-11 980|-12 110|-12 210
02400_41412|249196|A|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|50626000|Erfolgsprämie nach § 18 TVöD|E_02a|Personalaufwendungen|1|70626000|Auszahlungen für Erfolgsprämie|1|||-7 350.00|-7 350.00|-4 500.00|-4 500.00|-5 100.00|-5 100.00||0|0|0|0|0
02400_41600|249197|A|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|50229000|Beschäftigung über Entgeltvariante|E_02a|Personalaufwendungen|1|70229000|Auszahlungen für Beschäftigungsentgelte über Entgeltvariante|1|||-3 539.52|-3 539.52|||||0|0|0|0|0|0
02400_41610|249198|A|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|50291000|Vergütungen an Sonstige|E_02a|Personalaufwendungen|1|70291000|Auszahlungen für sonstige Aufwendungen für Beschäftigte|1|||||-14 808.95|-11 599.95|-21 104.00|-24 205.00|-4 000|-16 000|-16 000|-10 000|-10 000|-10 000
02400_43000|249200|A|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|50312000|Versorgungsumlage für Beamte|E_02a|Personalaufwendungen|1|70312000|Auszahlungen für Versorgungsumlage - Beamte|1|||-12 532.63|-12 532.63|-12 057.60|-12 057.60|||0|0|0|0|0|0
02400_43400|249201|A|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|50320000|Beiträge zu Versorgungskassen - Arbeitnehmer|E_02a|Personalaufwendungen|1|70320000|Beiträge zu Versorgungskassen - Arbeitnehmer|1|||-15 530.79|-15 530.79|-16 435.79|-16 435.79|-17 095.43|-17 095.43|-19 200|-16 250|-16 410|-16 570|-16 720|-16 880
02400_44400|249202|A|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|50421000|Beiträge zur gesetzlichen Sozialversicherung - Arbeitnehmer|E_02a|Personalaufwendungen|1|70421000|Beiträge zur gesetzlichen Sozialversicherung - Arbeitnehmer|1|||-89 508.15|-89 508.15|-95 964.78|-95 964.78|-93 651.70|-93 651.70|-104 670|-89 440|-90 310|-91 160|-92 010|-92 850
02400_44800|249203|A|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|50429000|Beiträge zur gesetzlichen Sozialversicherung - Arbeitnehmer über Entgeltvariante|E_02a|Personalaufwendungen|1|70420000|Beiträge zur gesetzlichen Sozialversicherung - Arbeitnehmer über Entgeltvariante|1|||-661.01|-661.01|||||0|0|0|0|0|0
02400_44850|249204|A|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|50490000|Beiträge zur gesetzlichen Sozialversicherung - Sonstige|E_02a|Personalaufwendungen|1|70490000|Beiträge zur gesetzlichen Sozialversicherung - Sonstige|1|||||||-1 335.89|-1 335.89||0|0|0|0|0
02400_45000|249205|A|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|50511000|Beihilfe für aktive Beamte|E_02a|Personalaufwendungen|1|70510000|Auszahlungen für Beihilfen für aktive Beamte|1|||-1 000.12|-1 000.12|-1 132.29|-1 132.29|||0|0|0|0|0|0
02400_45100|249206|A|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|50501000|Ärztliche Untersuchungen für aktive Beamte und Arbeitnehmer|E_02a|Personalaufwendungen|1|70500000|Auszahlungen für Unterstützungsleistungen und dergleichen|1|||-225.70|-225.70|-391.30|-391.30|-355.90|-355.90|-580|-480|-490|-490|-500|-500
02400_52300|249207|A|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|52370000|Unterhaltung der Betriebs- und Geschäftsausstattung|E_02c|Aufwendungen für Sach- und Dienstleistungen|1|72370000|Unterhaltung der Betriebs- und Geschäftsausstattung|1|||-51.86|-51.86|||||-120|-700|-700|-700|-700|-700
02400_52310|249208|A|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|8240000|Geringwertige Vermögensgegenstände (VG innerhalb der Wertgrenze 60,01 - 410,00 EUR ohne USt)|A_1.2.8|Betriebs- und Geschäftsausstattung|0|78572000|Auszahlungen für bewegliche Sachen des AV innerhalb der Wertgrenze 60,01 bis 410,00 EUR (ohne USt)|1|111200M10000|BOB - GVG||-445.56||-568.46|||-630|-630|-630|-630|-630|-630
02400_53000|249209|A|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|56211000|Mieten und Pachten an Dritte|E_02h|sonstige laufende Aufwendungen|1|76211000|Mieten und Pachten an Dritte|1|||-3 811.37|-2 041.13|-307.00|-2 077.24|-604.50|-297.50|-2 000|-10 500|-500|-500|-500|-500
02400_53400|249210|A|11120000|Öffentlichkeitsarbeit und Strategie (P)|7|11200|Bereich des Oberbürgermeisters|56213000|Mieten für Gebäude an Eigenbetrieb KIJ|E_02h|sonstige laufende Aufwendungen|1|76213000|Mieten für Gebäude an Eigenbetrieb KIJ|1|||-27 860.00|-27 860.00|-28 571.58|-28 571.58|-26 292.58|-26 292.58|-26 290|-27 700|-28 900|-28 900|-28 900|-28 900
